country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ukrajina,78301,87834,102657,126799,131998,132015,124367,119021,112642,105239,104388
Slovensko,47354,49446,58384,67889,76034,73446,71780,81253,85807,90948,96222
Vietnam,34248,36903,40835,51159,60306,61178,60350,58266,57360,57406,56666
Rusko,15032,16627,18954,23690,27467,30697,32203,32782,33359,33415,34684
Německo,5772,7187,10109,15700,17496,13792,13871,15763,17149,18507,19687
Polsko,16265,17810,18894,20601,21710,19273,18242,19058,19235,19452,19626
Bulharsko,4484,4586,4660,5046,5945,6428,6952,7461,8248,9132,10058
Rumunsko,2752,2864,2940,3298,3736,4213,4531,4965,5787,6777,7741
Spojené státy,3750,3952,4212,4452,5272,5941,6074,7317,6976,7134,6476
Velká Británie,1813,2235,2873,3775,4512,4363,4356,4924,5210,5376,5647
Čína,3430,3587,4165,4986,5211,5359,5478,5586,5607,5508,5587
Mongolsko,2052,2435,3282,6028,8571,5747,5578,5387,5308,5289,5464
Moldavská republika,4087,4682,6206,8038,10653,10059,8877,7605,6373,5684,5267
Kazachstán,2189,2289,2452,3038,3447,4000,4332,4613,4827,5007,5181
Bělorusko,3046,3191,3438,3977,4123,4550,4463,4418,4480,4642,4743
Itálie,1538,1761,2011,2351,2616,2558,2608,2933,3197,3503,3810
Rakousko,2080,2368,3022,3373,3580,2992,2924,3282,3345,3400,3447
Francie,1362,1551,1869,2140,2445,2278,2282,2715,2933,3025,3244
Nizozemsko,923,1260,1717,2240,2604,2507,2446,2681,2777,2872,2946
Srbsko,0,0,103,570,1031,1584,2005,2297,2438,2570,2631
Chorvatsko,2034,2143,2228,2327,2327,2359,2425,2488,2496,2490,2613
Maďarsko,494,512,535,587,653,654,713,839,999,1519,2300
Bosna a Hercegovina,1731,1697,1738,2093,2442,2243,2179,2204,2246,2109,1910
Makedonie,1161,1218,1440,1787,2155,2070,1945,1880,1830,1804,1838
Arménie,1246,1351,1455,1624,1956,2118,2183,2094,1990,1926,1769
Uzbekistán,265,384,519,1148,2339,1938,1825,1819,1699,1640,1670
Indie,482,543,731,874,979,1067,1172,1193,1319,1471,1658
Turecko,535,655,825,994,1119,1231,1396,1513,1508,1678,1623
Řecko,792,805,805,811,856,862,872,939,1007,1091,1154
Kosovo,0,0,0,0,77,390,582,765,993,1065,1098
Sýrie,354,378,408,436,468,515,565,586,638,825,889
Izrael,539,614,663,705,762,798,797,811,826,833,867
Írán,161,159,176,203,234,306,361,332,338,346,376
Afghánistán,355,359,370,392,335,491,515,403,414,379,375
Srbsko a Černá Hora,3505,3633,3786,3615,3265,2470,842,887,452,330,257
